temperature	collisions1	collisions2	collisions3	collisions4	collisions
-260	37	45	47	34	40.75
-240	71	75	78	78	75.5
-220	99	98	91	76	91
-200	110	95	112	105	105.5
-180	124	142	131	112	127.25
-160	129	139	124	122	128.5
-140	155	154	128	164	150.25
-120	159	156	160	136	152.75
-100	155	155	165	169	161
-80	173	182	161	176	173
-60	179	181	184	177	180.25
-40	211	198	182	182	193.25
-20	181	192	205	179	189.25
0	206	191	197	221	203.75
20	216	210	216	190	208
40	218	229	216	234	224.25
60	227	222	222	235	226.5
80	233	220	230	196	219.75
100	241	258	237	231	241.75
120	257	245	237	238	244.25
140	253	256	226	265	250
160	264	233	245	267	252.25
180	269	263	264	273	267.25
200	267	268	267	250	263
220	286	261	266	289	275.5
240	280	272	279	258	272.25
260	280	291	288	279	284.5
280	276	290	273	309	287
300	311	283	276	286	289
320	290	279	281	302	288
340	296	317	297	296	301.5
360	288	306	313	305	303
380	308	312	305	314	309.75
400	327	308	312	306	313.25
420	311	321	319	328	319.75
440	324	311	307	326	317
460	334	341	340	322	334.25
480	351	317	337	332	334.25
500	352	328	336	332	337
